country,ip,prefixlength,version
AE,2.48.0.0,14,ipv4
AE,2.56.16.0,22,ipv4
AE,2.56.240.0,22,ipv4
AE,2.57.16.0,22,ipv4
AE,2.57.20.0,22,ipv4
AE,2.57.148.0,22,ipv4
AE,2.57.240.0,22,ipv4
AE,2.58.28.0,22,ipv4
AE,2.58.96.0,22,ipv4
AE,2.58.172.0,22,ipv4
AE,2.59.0.0,22,ipv4
AE,2.59.40.0,22,ipv4
AE,2.59.212.0,22,ipv4
AE,5.30.0.0,15,ipv4
AE,5.32.0.0,17,ipv4
AE,5.38.0.0,17,ipv4
AE,5.45.36.0,22,ipv4
AE,5.53.96.0,21,ipv4
AE,5.83.112.0,21,ipv4
AE,5.107.0.0,16,ipv4
AE,5.133.80.0,22,ipv4
AE,5.133.108.0,22,ipv4
AE,5.152.248.0,21,ipv4
AE,5.180.16.0,22,ipv4
AE,5.181.12.0,22,ipv4
AE,5.181.124.0,22,ipv4
AE,5.181.128.0,22,ipv4
AE,5.181.132.0,22,ipv4
AE,5.182.24.0,22,ipv4
AE,5.182.108.0,22,ipv4
AE,5.182.124.0,22,ipv4
AE,5.183.152.0,22,ipv4
AE,5.192.0.0,15,ipv4
AE,5.194.0.0,17,ipv4
AE,5.194.128.0,18,ipv4
AE,5.194.192.0,19,ipv4
AE,5.194.224.0,20,ipv4
AE,5.194.240.0,21,ipv4
AE,5.194.248.0,22,ipv4
AE,5.194.252.0,22,ipv4
AE,5.195.0.0,16,ipv4
AE,5.252.68.0,22,ipv4
AE,5.252.72.0,22,ipv4
AE,5.252.76.0,22,ipv4
AE,5.252.80.0,22,ipv4
AE,5.252.160.0,22,ipv4
AE,5.253.200.0,22,ipv4
AE,31.24.253.0,24,ipv4
AE,31.29.64.0,19,ipv4
AE,31.215.0.0,16,ipv4
AE,31.218.0.0,15,ipv4
AE,37.143.60.0,22,ipv4
AE,37.153.158.0,24,ipv4
AE,37.156.5.0,24,ipv4
AE,37.218.224.0,21,ipv4
AE,37.236.0.0,14,ipv4
AE,37.245.0.0,16,ipv4
AE,43.225.52.0,22,ipv4
AE,45.8.156.0,22,ipv4
AE,45.8.228.0,22,ipv4
AE,45.11.24.0,22,ipv4
AE,45.11.160.0,22,ipv4
AE,45.13.248.0,22,ipv4
AE,45.15.172.0,22,ipv4
AE,45.66.244.0,22,ipv4
AE,45.67.60.0,22,ipv4
AE,45.81.0.0,22,ipv4
AE,45.81.24.0,22,ipv4
AE,45.82.40.0,22,ipv4
AE,45.82.80.0,22,ipv4
AE,45.83.96.0,22,ipv4
AE,45.85.64.0,22,ipv4
AE,45.85.108.0,22,ipv4
AE,45.87.48.0,22,ipv4
AE,45.87.184.0,22,ipv4
AE,45.88.12.0,22,ipv4
AE,45.88.80.0,22,ipv4
AE,45.88.96.0,22,ipv4
AE,45.89.240.0,22,ipv4
AE,45.89.248.0,22,ipv4
AE,45.89.252.0,22,ipv4
AE,45.91.160.0,22,ipv4
